time,y_real,y_int,y_bool,y_over
1.96,1.85791943,1,0,1
1.97,1.850423042,1,0,1
1.98,1.842741612,1,0,1
1.99,1.834875911,1,0,1
2,1.826826723,1,0,1
2.01,1.818594854,2,0,1
2.02,1.810181127,2,0,1
2.03,1.801586383,2,0,1
2.04,1.792811482,2,0,1
2.05,1.783857302,2,0,1
2.06,1.774724737,2,0,1
2.07,1.765414702,2,0,1
2.08,1.755928126,2,0,1
2.09,1.746265959,2,0,1
2.1,1.736429167,2,0,1
2.11,1.726418733,2,0,1
2.12,1.716235659,2,0,1
2.13,1.705880963,2,0,1
2.14,1.69535568,2,0,1
2.15,1.684660863,2,0,1
2.16,1.673797582,2,0,1
2.17,1.662766922,2,0,1
2.18,1.651569986,2,0,1
2.19,1.640207895,2,0,1
2.2,1.628681785,2,0,1
2.21,1.616992808,2,0,1
2.22,1.605142132,2,0,1
2.23,1.593130944,2,0,1
2.24,1.580960445,2,0,1
2.25,1.56863185,2,0,1
2.26,1.556146394,2,0,1
2.27,1.543505324,2,0,1
2.28,1.530709905,2,0,1
2.29,1.517761416,2,0,1
2.3,1.504661153,2,0,1
2.31,1.491410424,2,0,1
2.32,1.478010556,2,0,1
2.33,1.464462888,2,0,1
2.34,1.450768775,2,0,1
2.35,1.436929586,2,0,1
2.36,1.422946706,2,0,1
2.37,1.408821532,2,0,1
2.38,1.394555477,2,0,1
2.39,1.380149967,2,0,1
2.4,1.365606444,2,0,1
2.41,1.350926361,2,0,1
2.42,1.336111187,2,0,1
2.43,1.321162403,2,0,1
2.44,1.306081503,2,0,1
2.45,1.290869997,2,0,1
2.46,1.275529404,2,0,1
2.47,1.26006126,2,0,1
2.48,1.244467111,2,0,1
2.49,1.228748516,2,0,1
2.5,1.212907047,2,0,1
2.51,1.196944288,2,0,1
2.52,1.180861836,2,0,1
2.53,1.164661299,2,0,1
2.54,1.148344297,2,0,1
2.55,1.131912461,2,0,1
2.56,1.115367435,2,0,1
2.57,1.098710873,2,0,1
2.58,1.081944441,2,0,1
2.59,1.065069815,2,0,1
2.6,1.048088683,2,0,1
2.61,1.031002744,2,0,1
2.62,1.013813704,2,0,1
2.63,0.9965232848,2,0,0
2.64,0.9791332136,2,0,0
2.65,0.96164523,2,0,0
2.66,0.9440610826,2,0,0
2.67,0.9263825298,2,0,0
2.68,0.9086113396,2,0,0
2.69,0.890749289,2,0,0
2.7,0.8727981644,2,0,0
2.71,0.8547597604,2,0,0
2.72,0.8366358814,2,0,0
2.73,0.8184283394,2,0,0
2.74,0.8001389552,2,0,0
2.75,0.7817695578,2,0,0
2.76,0.7633219842,2,0,0
2.77,0.7447980788,2,0,0
2.78,0.7261996944,2,0,0
2.79,0.7075286906,2,0,0
2.8,0.6887869346,2,0,0
2.81,0.6699763004,2,0,0
2.82,0.651098669,2,0,0
2.83,0.6321559284,2,0,0
2.84,0.6131499728,2,0,0
2.85,0.5940827026,2,0,0
2.86,0.5749560246,2,0,0
2.87,0.5557718516,2,0,0
2.88,0.5365321018,2,0,0
2.89,0.5172386994,2,0,0
2.9,0.4978935734,2,0,0
2.91,0.4784986584,2,0,0
2.92,0.459055894,2,0,0
2.93,0.4395672244,2,0,0
2.94,0.4200345986,2,0,0
2.95,0.4004599694,2,0,0
2.96,0.3808452948,2,0,0
2.97,0.3611925358,2,0,0
2.98,0.341503658,2,0,0
2.99,0.32178063,2,0,0
3,0.3020254242,2,0,0
3.01,0.2822400162,3,0,0
3.02,0.2624263844,3,0,0
3.03,0.24258651,3,0,0
3.04,0.2227223774,3,0,0
3.05,0.2028359726,3,0,0
3.06,0.1829292845,3,0,0
