time,T,heater
2.33,47.52309352,1
2.34,47.58532235,1
2.35,47.64724081,1
2.36,47.70885046,1
2.37,47.77015282,1
2.38,47.83114944,1
2.39,47.89184183,1
2.4,47.95223152,1
2.41,48.01232002,1
2.42,48.07210882,1
2.43,48.13159943,1
2.44,48.19079332,1
2.45,48.24969199,1
2.46,48.30829689,1
2.47,48.36660951,1
2.48,48.42463128,1
2.49,48.48236367,1
2.5,48.53980813,1
2.51,48.59696607,1
2.52,48.65383894,1
2.53,48.71042815,1
2.54,48.76673513,1
2.55,48.82276127,1
2.56,48.87850798,1
2.57,48.93397665,1
2.58,48.98916868,1
2.59,49.04408543,1
2.6,49.09872828,1
2.61,49.1530986,1
2.62,49.20719774,1
2.63,49.26102707,1
2.64,49.31458792,1
2.65,49.36788164,1
2.66,49.42090955,1
2.67,49.47367298,1
2.68,49.52617326,1
2.69,49.57841169,1
2.7,49.63038957,1
2.71,49.68210822,1
2.72,49.73356892,1
2.73,49.78477296,1
2.74,49.83572162,1
2.75,49.88641617,1
2.76,49.93685788,1
2.77,49.98704801,1
2.78,50.03698781,1
2.79,50.08667855,1
2.8,50.13612144,1
2.81,50.18531774,1
2.82,50.23426867,1
2.83,50.28297546,1
2.84,50.33143932,1
2.85,50.37966147,1
2.86,50.42764311,1
2.87,50.47538544,1
2.88,50.52288965,1
2.89,50.57015694,1
2.9,50.61718848,1
2.91,50.66398544,1
2.92,50.71054901,1
2.93,50.75688034,1
2.94,50.80298059,1
2.95,50.84885092,1
2.96,50.89449246,1
2.97,50.93990637,1
2.98,50.98509378,1
2.99,50.89647443,0
3,50.74237762,0
3.01,50.58904937,0
3.02,50.43648585,0
3.03,50.28468325,0
3.04,50.13363776,0
3.05,49.98334561,0
3.06,49.83380305,0
3.07,49.68500634,0
3.08,49.53695175,0
3.09,49.38963559,0
3.1,49.24305417,0
3.11,49.09720383,0
3.12,49.0181762,1
3.13,49.07294828,1
3.14,49.12744717,1
3.15,49.18167426,1
3.16,49.23563088,1
3.17,49.2893184,1
3.18,49.34273815,1
3.19,49.39589146,1
3.2,49.44877967,1
3.21,49.5014041,1
3.22,49.55376607,1
3.23,49.60586688,1
3.24,49.65770783,1
3.25,49.70929023,1
3.26,49.76061536,1
3.27,49.8116845,1
3.28,49.86249894,1
3.29,49.91305994,1
3.3,49.96336876,1
3.31,50.01342667,1
3.32,50.06323491,1
3.33,50.11279473,1
3.34,50.16210737,1
3.35,50.21117407,1
3.36,50.25999604,1
3.37,50.30857451,1
3.38,50.3569107,1
3.39,50.40500581,1
3.4,50.45286104,1
3.41,50.5004776,1
3.42,50.54785666,1
3.43,50.59499942,1
3.44,50.64190706,1
3.45,50.68858074,1
3.46,50.73502164,1
3.47,50.78123091,1
3.48,50.82720971,1
3.49,50.8729592,1
3.5,50.9184805,1
3.51,50.96377477,1
3.52,50.96954032,0
3.53,50.8150791,0
3.54,50.66138825,0
3.55,50.50846394,0
3.56,50.35630234,0
3.57,50.20489965,0
3.58,50.05425208,0
3.59,49.90435588,0
3.6,49.75520728,0
3.61,49.60680256,0
3.62,49.45913802,0
3.63,49.31220995,0
3.64,49.1660147,0
3.65,49.02054859,0
3.66,49.04710731,1
3.67,49.10173509,1
3.68,49.15609041,1
3.69,49.21017464,1
3.7,49.26398912,1
3.71,49.31753519,1
3.72,49.37081421,1
3.73,49.42382749,1
3.74,49.47657637,1
3.75,49.52906217,1
3.76,49.58128619,1
3.77,49.63324974,1
3.78,49.68495412,1
3.79,49.73640063,1
3.8,49.78759055,1
3.81,49.83852515,1
3.82,49.88920572,1
3.83,49.93963351,1
3.84,49.9898098,1
3.85,50.03973583,1
3.86,50.08941286,1
3.87,50.13884212,1
3.88,50.18802485,1
3.89,50.23696228,1
3.9,50.28565563,1
3.91,50.33410613,1
3.92,50.38231497,1
3.93,50.43028338,1
3.94,50.47801254,1
3.95,50.52550365,1
3.96,50.5727579,1
3.97,50.61977646,1
3.98,50.66656052,1
3.99,50.71311125,1
4,50.7594298,1
4.01,50.80551733,1
4.02,50.85137501,1
4.03,50.89700396,1
4.04,50.94240535,1
4.05,50.98758029,1
4.06,50.8879525,0
4.07,50.7338982,0
4.08,50.58061224,0
4.09,50.4280908,0
4.1,50.27633006,0
4.11,50.12532624,0
4.12,49.97507555,0
4.13,49.82557423,0
4.14,49.67681856,0
4.15,49.52880481,0
4.16,49.38152928,0
4.17,49.23498829,0
4.18,49.08917818,0
4.19,49.02120523,1
4.2,49.0759622,1
4.21,49.13044606,1
4.22,49.18465819,1
4.23,49.23859993,1
4.24,49.29227264,1
4.25,49.34567765,1
4.26,49.39881631,1
4.27,49.45168993,1
4.28,49.50429985,1
4.29,49.55664737,1
4.3,49.60873381,1
4.31,49.66056047,1
4.32,49.71212864,1
4.33,49.76343961,1
4.34,49.81449467,1
4.35,49.86529509,1
4.36,49.91584214,1
4.37,49.96613708,1
4.38,50.01618118,1
4.39,50.06597569,1
4.4,50.11552184,1
4.41,50.16482088,1
4.42,50.21387404,1
4.43,50.26268255,1
4.44,50.31124762,1
4.45,50.35957048,1
4.46,50.40765232,1
4.47,50.45549435,1
4.48,50.50309777,1
4.49,50.55046377,1
4.5,50.59759353,1
4.51,50.64448823,1
4.52,50.69114904,1
4.53,50.73757712,1
4.54,50.78377365,1
4.55,50.82973977,1
4.56,50.87547664,1
4.57,50.92098539,1
4.58,50.96626716,1
4.59,50.96099824,0
4.6,50.80657962,0
4.61,50.65293116,0
4.62,50.50004903,0
4.63,50.3479294,0
4.64,50.19656847,0
4.65,50.04596246,0
4.66,49.8961076,0
4.67,49.74700014,0
4.68,49.59863635,0
4.69,49.45101254,0
4.7,49.304125,0
4.71,49.15797007,0
4.72,49.01254409,0
4.73,49.05012836,1
4.74,49.10474107,1
4.75,49.1590814,1
4.76,49.21315071,1
4.77,49.26695034,1
4.78,49.32048165,1
4.79,49.37374597,1
4.8,49.42674464,1
4.81,49.47947897,1
4.82,49.53195028,1
4.83,49.5841599,1
4.84,49.63610912,1
4.85,49.68779924,1
4.86,49.73923156,1
4.87,49.79040735,1
4.88,49.84132791,1
4.89,49.8919945,1
4.9,49.94240838,1
4.91,49.99257083,1
4.92,50.04248309,1
4.93,50.09214642,1
4.94,50.14156204,1
4.95,50.19073121,1
4.96,50.23965514,1
4.97,50.28833506,1
4.98,50.33677219,1
4.99,50.38496774,1
5,50.43292292,1
5.01,50.48063891,1
5.02,50.52811692,1
5.03,50.57535814,1
5.04,50.62236373,1
5.05,50.66913489,1
5.06,50.71567277,1
5.07,50.76197855,1
5.08,50.80805337,1
5.09,50.8538984,1
5.1,50.89951477,1
5.11,50.94490363,1
5.12,50.99006611,1
5.13,50.87943292,0
5.14,50.72542111,0
5.15,50.57217743,0
5.16,50.41969806,0
5.17,50.26797918,0
5.18,50.11701701,0
5.19,49.96680776,0
5.2,49.81734768,0
5.21,49.66863304,0
5.22,49.52066012,0
5.23,49.37342521,0
5.24,49.22692464,0
5.25,49.08115474,0
5.26,49.02423342,1
5.27,49.07897529,1
5.28,49.13344413,1
5.29,49.1876413,1
5.3,49.24156816,1
5.31,49.29522607,1
5.32,49.34861635,1
5.33,49.40174035,1
5.34,49.45459939,1
5.35,49.50719479,1
5.36,49.55952788,1
5.37,49.61159995,1
5.38,49.66341231,1
5.39,49.71496626,1
5.4,49.76626308,1
5.41,49.81730405,1
5.42,49.86809046,1
5.43,49.91862357,1
5.44,49.96890464,1
5.45,50.01893494,1
5.46,50.06871571,1
5.47,50.1182482,1
5.48,50.16753364,1
5.49,50.21657327,1
5.5,50.26536832,1
5.51,50.31391999,1
5.52,50.36222952,1
5.53,50.4102981,1
5.54,50.45812694,1
5.55,50.50571723,1
