time,amp_i,speed_w_rel
1.73,9.35182765,67.58547574
1.74,9.337122152,68.04591817
1.75,9.322252363,68.5055752
1.76,9.307222317,68.96443878
1.77,9.292035978,69.4225011
1.78,9.276697237,69.87975451
1.79,9.261209917,70.33619157
1.8,9.245577771,70.79180503
1.81,9.229804487,71.24658782
1.82,9.213893684,71.70053306
1.83,9.197848919,72.15363404
1.84,9.181673684,72.60588424
1.85,9.165371406,73.05727731
1.86,9.148945454,73.50780707
1.87,9.132399134,73.95746749
1.88,9.115735694,74.40625274
1.89,9.098958321,74.85415712
1.9,9.082070147,75.30117511
1.91,9.065074246,75.74730133
1.92,9.047973636,76.19253055
1.93,9.030771282,76.63685771
1.94,9.013470094,77.08027789
1.95,8.996072929,77.5227863
1.96,8.978582593,77.9643783
1.97,8.96100184,78.40504941
1.98,8.943333374,78.84479525
1.99,8.925579851,79.28361161
2,8.907743877,79.72149439
2.01,8.889828011,80.15843962
2.02,8.871834765,80.59444346
2.03,8.853766605,81.02950221
2.04,8.835625952,81.46361227
2.05,8.817415183,81.89677017
2.06,8.79913663,82.32897256
2.07,8.780792584,82.76021621
2.08,8.762385291,83.19049799
2.09,8.743916958,83.61981489
2.1,8.725389751,84.04816401
2.11,8.706805795,84.47554255
2.12,8.688167175,84.90194784
2.13,8.66947594,85.32737728
2.14,8.650734097,85.75182839
2.15,8.631943621,86.17529879
2.16,8.613106444,86.59778619
2.17,8.594224467,87.01928841
2.18,8.575299553,87.43980335
2.19,8.556333531,87.859329
2.2,8.537328195,88.27786346
2.21,8.518285305,88.69540491
2.22,8.49920659,89.11195161
2.23,8.480093745,89.5275019
2.24,8.460948432,89.94205423
2.25,8.441772284,90.35560711
2.26,8.422566901,90.76815914
2.27,8.403333853,91.179709
2.28,8.384074682,91.59025545
2.29,8.364790899,91.99979731
2.3,8.345483985,92.40833349
2.31,8.326155396,92.81586298
2.32,8.306806558,93.22238482
2.33,8.28743887,93.62789814
2.34,8.268053703,94.03240214
2.35,8.248652404,94.43589607
2.36,8.229236293,94.83837925
2.37,8.209806663,95.2398511
2.38,8.190364785,95.64031105
2.39,8.170911902,96.03975864
2.4,8.151449236,96.43819343
2.41,8.131977982,96.83561508
2.42,8.112499314,97.23202329
2.43,8.093014383,97.62741781
2.44,8.073524316,98.02179847
2.45,8.054030218,98.41516513
2.46,8.034533174,98.80751772
2.47,8.015034246,99.19885622
2.48,7.995534475,99.58918067
2.49,7.976034882,99.97849114
2.5,7.956536467,100.3667878
2.51,7.93704021,100.7540708
2.52,7.917547073,101.1403404
2.53,7.898057996,101.5255968
2.54,7.878573902,101.9098404
2.55,7.859095696,102.2930716
2.56,7.839624261,102.6752908
2.57,7.820160468,103.0564984
2.58,7.800705164,103.436695
2.59,7.781259184,103.8158811
2.6,7.761823341,104.1940572
2.61,7.742398437,104.5712241
2.62,7.722985251,104.9473823
2.63,7.703584552,105.3225327
2.64,7.684197089,105.6966758
2.65,7.664823596,106.0698126
2.66,7.645464794,106.4419438
2.67,7.626121386,106.8130702
2.68,7.606794062,107.1831929
2.69,7.587483497,107.5523126
2.7,7.568190352,107.9204304
2.71,7.548915273,108.2875472
2.72,7.529658892,108.653664
2.73,7.51042183,109.0187819
2.74,7.491204691,109.3829021
2.75,7.47200807,109.7460255
2.76,7.452832545,110.1081533
2.77,7.433678685,110.4692868
2.78,7.414547044,110.829427
2.79,7.395438165,111.1885753
2.8,7.376352578,111.5467328
2.81,7.357290803,111.9039009
2.82,7.338253348,112.2600808
2.83,7.319240708,112.6152739
2.84,7.300253368,112.9694816
2.85,7.281291802,113.3227051
2.86,7.262356474,113.674946
2.87,7.243447837,114.0262055
2.88,7.224566332,114.3764852
2.89,7.205712392,114.7257866
2.9,7.186886438,115.0741111
2.91,7.168088884,115.4214602
2.92,7.149320132,115.7678355
2.93,7.130580574,116.1132384
2.94,7.111870595,116.4576707
2.95,7.093190568,116.8011338
2.96,7.074540861,117.1436293
2.97,7.055921829,117.4851589
2.98,7.037333821,117.8257243
2.99,7.018777176,118.165327
3,7.000252226,118.5039688
3.01,6.981759293,118.8416513
3.02,6.963298692,119.1783762
3.03,6.94487073,119.5141453
3.04,6.926475707,119.8489603
3.05,6.908113914,120.1828229
3.06,6.889785635,120.515735
3.07,6.871491147,120.8476982
3.08,6.853230718,121.1787144
3.09,6.835004612,121.5087854
3.1,6.816813084,121.837913
3.11,6.798656382,122.166099
3.12,6.780534747,122.4933452
3.13,6.762448416,122.8196537
3.14,6.744397616,123.145026
3.15,6.726382569,123.4694643
3.16,6.708403493,123.7929703
3.17,6.690460596,124.1155459
3.18,6.672554082,124.4371931
3.19,6.654684149,124.7579138
3.2,6.636850989,125.0777099
3.21,6.619054788,125.3965833
3.22,6.601295728,125.7145359
3.23,6.583573982,126.0315698
3.24,6.565889722,126.3476869
3.25,6.548243112,126.6628892
3.26,6.53063431,126.9771786
3.27,6.513063471,127.2905571
3.28,6.495530744,127.6030267
3.29,6.478036273,127.9145894
3.3,6.460580198,128.2252473
3.31,6.443162653,128.5350023
3.32,6.425783768,128.8438565
3.33,6.408443669,129.1518119
3.34,6.391142476,129.4588704
3.35,6.373880306,129.7650343
3.36,6.356657271,130.0703054
3.37,6.339473478,130.3746858
3.38,6.322329033,130.6781777
3.39,6.305224033,130.980783
3.4,6.288158575,131.2825039
3.41,6.271132751,131.5833423
3.42,6.254146649,131.8833004
3.43,6.237200351,132.1823803
3.44,6.22029394,132.4805839
3.45,6.20342749,132.7779135
3.46,6.186601076,133.074371
3.47,6.169814767,133.3699586
3.48,6.15306863,133.6646784
3.49,6.136362725,133.9585325
3.5,6.119697115,134.2515229
3.51,6.103071853,134.5436518
3.52,6.086486994,134.8349213
3.53,6.069942587,135.1253335
3.54,6.053438679,135.4148904
3.55,6.036975313,135.7035943
3.56,6.020552531,135.9914472
3.57,6.00417037,136.2784512
3.58,5.987828866,136.5646085
3.59,5.97152805,136.8499211
3.6,5.955267952,137.1343912
3.61,5.939048598,137.4180209
3.62,5.922870014,137.7008124
3.63,5.906732221,137.9827677
3.64,5.890635237,138.263889
3.65,5.874579079,138.5441784
3.66,5.858563762,138.823638
3.67,5.842589298,139.10227
3.68,5.826655695,139.3800764
3.69,5.81076296,139.6570594
3.7,5.7949111,139.9332212
3.71,5.779100116,140.2085638
3.72,5.763330009,140.4830894
3.73,5.747600778,140.7568001
3.74,5.731912418,141.0296981
3.75,5.716264924,141.3017854
3.76,5.700658289,141.5730641
3.77,5.685092503,141.8435365
3.78,5.669567554,142.1132046
3.79,5.654083429,142.3820705
3.8,5.638640113,142.6501364
3.81,5.623237588,142.9174044
3.82,5.607875836,143.1838766
3.83,5.592554837,143.4495552
3.84,5.577274567,143.7144421
3.85,5.562035004,143.9785396
3.86,5.546836122,144.2418498
3.87,5.531677893,144.5043748
3.88,5.516560289,144.7661167
3.89,5.501483281,145.0270775
3.9,5.486446835,145.2872595
3.91,5.47145092,145.5466647
3.92,5.456495501,145.8052951
3.93,5.441580541,146.0631531
3.94,5.426706004,146.3202405
3.95,5.41187185,146.5765595
3.96,5.39707804,146.8321122
3.97,5.382324533,147.0869008
3.98,5.367611287,147.3409272
3.99,5.352938256,147.5941936
4,5.338305398,147.8467021
4.01,5.323712665,148.0984547
4.02,5.30916001,148.3494536
4.03,5.294647385,148.5997007
4.04,5.28017474,148.8491983
4.05,5.265742026,149.0979482
4.06,5.251349189,149.3459528
4.07,5.236996179,149.5932139
4.08,5.222682941,149.8397336
4.09,5.20840942,150.0855141
4.1,5.194175561,150.3305573
4.11,5.179981308,150.5748654
4.12,5.165826603,150.8184404
4.13,5.151711388,151.0612843
4.14,5.137635604,151.3033991
4.15,5.123599191,151.544787
4.16,5.109602087,151.78545
4.17,5.095644231,152.02539
4.18,5.081725562,152.2646092
4.19,5.067846014,152.5031095
4.2,5.054005526,152.740893
4.21,5.040204031,152.9779617
4.22,5.026441464,153.2143177
4.23,5.01271776,153.4499629
4.24,4.999032851,153.6848993
4.25,4.98538667,153.919129
4.26,4.971779148,154.152654
4.27,4.958210218,154.3854763
4.28,4.944679809,154.6175978
4.29,4.931187852,154.8490206
4.3,4.917734276,155.0797466
4.31,4.90431901,155.3097779
4.32,4.890941982,155.5391164
4.33,4.877603119,155.7677641
4.34,4.86430235,155.995723
4.35,4.851039601,156.2229951
4.36,4.837814797,156.4495822
4.37,4.824627865,156.6754865
4.38,4.811478731,156.9007097
