time,h,v
1.64,0.1093946366,0.402430876
1.65,0.1129284454,0.304330876
1.66,0.1154812541,0.206230876
1.67,0.1170530629,0.108130876
1.68,0.1176438716,0.01003087602
1.69,0.1172536804,-0.08806912398
1.7,0.1158824892,-0.186169124
1.71,0.1135302979,-0.284269124
1.72,0.1101971067,-0.382369124
1.73,0.1058829154,-0.480469124
1.74,0.1005877242,-0.578569124
1.75,0.09431153296,-0.676669124
1.76,0.08705434172,-0.774769124
1.77,0.07881615048,-0.872869124
1.78,0.06959695924,-0.970969124
1.79,0.059396768,-1.069069124
1.8,0.04821557676,-1.167169124
1.81,0.03605338552,-1.265269124
1.82,0.02291019428,-1.363369124
1.83,0.008786003041,-1.461469124
1.84,0.004282927972,1.023241374
1.85,0.01402484171,0.925141374
1.86,0.02278575545,0.827041374
1.87,0.03056566919,0.728941374
1.88,0.03736458293,0.630841374
1.89,0.04318249667,0.532741374
1.9,0.04801941041,0.434641374
1.91,0.05187532415,0.336541374
1.92,0.05475023789,0.238441374
1.93,0.05664415163,0.140341374
1.94,0.05755706537,0.04224137397
1.95,0.05748897911,-0.05585862603
1.96,0.05643989285,-0.153958626
1.97,0.05440980659,-0.252058626
1.98,0.05139872033,-0.350158626
1.99,0.04740663407,-0.448258626
2,0.04243354781,-0.546358626
2.01,0.03647946155,-0.644458626
2.02,0.02954437529,-0.742558626
2.03,0.02162828903,-0.840658626
2.04,0.01273120277,-0.938758626
2.05,0.002853116508,-1.036858626
2.06,0.00516186024,0.6730087226
2.07,0.01140144747,0.5749087226
2.08,0.01666003469,0.4768087226
2.09,0.02093762192,0.3787087226
2.1,0.02423420914,0.2806087226
2.11,0.02654979637,0.1825087226
2.12,0.02788438359,0.08440872258
2.13,0.02823797082,-0.01369127742
2.14,0.02761055805,-0.1117912774
2.15,0.02600214527,-0.2098912774
2.16,0.0234127325,-0.3079912774
2.17,0.01984231972,-0.4060912774
2.18,0.01529090695,-0.5041912774
2.19,0.009758494174,-0.6022912774
2.2,0.0032450814,-0.7003912774
2.21,0.002721551892,0.4670858666
2.22,0.006901910558,0.3689858666
2.23,0.01010126922,0.2708858666
2.24,0.01231962789,0.1727858666
2.25,0.01355698656,0.07468586659
2.26,0.01381334522,-0.02341413341
2.27,0.01308870389,-0.1215141334
2.28,0.01138306255,-0.2196141334
2.29,0.008696421219,-0.3177141334
2.3,0.005028779885,-0.4158141334
2.31,0.0003801385509,-0.5139141334
2.32,0.002958802622,0.2738898674
2.33,0.005207201296,0.1757898674
2.34,0.00647459997,0.0776898674
2.35,0.006760998644,-0.0204101326
2.36,0.006066397318,-0.1185101326
2.37,0.004390795992,-0.2166101326
2.38,0.001734194666,-0.3147101326
2.39,0.001132534206,0.207322668
2.4,0.002715260886,0.109222668
